Cycle,discharge,discharge_b
2,277.3889,177.8056
3,317.3194,277.3889
4,354.3333,317.3194
5,368.6806,354.3333
6,369.0556,368.6806
7,370.6667,369.0556
8,361.2361,370.6667
9,353.0278,361.2361
10,354.2222,353.0278
11,302,354.2222
12,268.4167,302
13,259.5,268.4167
14,254.5833,259.5
15,249.8333,254.5833
16,245.8333,249.8333
17,242.6667,245.8333
18,239.9167,242.6667
19,237.6667,239.9167
20,235.3333,237.6667
21,232.8333,235.3333
22,231.25,232.8333
23,229.25,231.25
24,227.25,229.25
25,225.5833,227.25
26,224.1667,225.5833
27,222.3333,224.1667
28,220.5,222.3333
29,218.9167,220.5
30,216.5833,218.9167
31,214.9167,216.5833
32,214.9167,214.9167
33,213.3333,214.9167
34,208.4167,213.3333
35,205.1667,208.4167
36,207.5,205.1667
37,206.6667,207.5
38,204.6667,206.6667
39,202.5833,204.6667
40,200.5833,202.5833
41,198.9167,200.5833
42,199.5,198.9167
43,198.1667,199.5
44,197.0833,198.1667
45,195.6667,197.0833
46,194.0833,195.6667
47,192.75,194.0833
48,191.1667,192.75
49,189.0833,191.1667
50,187.5,189.0833
51,185.5833,187.5
52,184,185.5833
53,183.9167,184
54,182.5,183.9167
55,181.1667,182.5
56,179.25,181.1667
57,177.6667,179.25
58,175.8333,177.6667
59,174.0833,175.8333
60,172.1667,174.0833
61,170.3333,172.1667
62,168.8333,170.3333
63,166.8333,168.8333
64,165.0833,166.8333
65,164.3333,165.0833
66,162.5833,164.3333
67,161.25,162.5833
68,159.8333,161.25
69,158.25,159.8333
70,156.25,158.25
71,154.5833,156.25
72,152.3333,154.5833
73,151.5,152.3333
74,149.5833,151.5
75,147.8333,149.5833
76,146.3333,147.8333
77,146.1667,146.3333
78,144.75,146.1667
79,143.8333,144.75
80,143,143.8333
81,141.6667,143
82,140.4167,141.6667
83,139.25,140.4167
84,138.25,139.25
85,137.4167,138.25
86,135.8333,137.4167
87,134.3333,135.8333
88,134.1667,134.3333
89,133.5833,134.1667
90,132.5,133.5833
91,131.1667,132.5
92,131.25,131.1667
93,130.1667,131.25
94,129.3333,130.1667
95,128.25,129.3333
96,127.4167,128.25
97,126.6667,127.4167
98,125.8333,126.6667
99,125,125.8333
100,123.8333,125
101,123.25,123.8333
102,122.8333,123.25
103,122,122.8333
104,121.25,122
105,120.1667,121.25
106,119.5,120.1667
107,119.0833,119.5
108,118.75,119.0833
109,118.4167,118.75
110,117.6667,118.4167
111,117,117.6667
112,116,117
113,115.5833,116
114,115.25,115.5833
115,114.1667,115.25
116,113.9167,114.1667
117,113.4167,113.9167
118,112.75,113.4167
119,112.5833,112.75
120,111.75,112.5833
121,111.25,111.75
122,110.3333,111.25
123,109.8333,110.3333
124,109.3333,109.8333
125,109.1667,109.3333
126,108.9167,109.1667
127,108.25,108.9167
128,107.75,108.25
129,107.0833,107.75
130,106.5833,107.0833
131,106.1667,106.5833
132,105.8333,106.1667
