Cycle,t,t-1,diameter,rate
1,177.8056,,12,50
2,277.3889,177.8056,12,50
3,317.3194,277.3889,12,50
4,354.3333,317.3194,12,50
5,368.6806,354.3333,12,50
6,369.0556,368.6806,12,50
7,370.6667,369.0556,12,50
8,361.2361,370.6667,12,50
9,353.0278,361.2361,12,50
10,354.2222,353.0278,12,50
11,302,354.2222,12,133
12,268.4167,302,12,133
13,259.5,268.4167,12,133
14,254.5833,259.5,12,133
15,249.8333,254.5833,12,133
16,245.8333,249.8333,12,133
17,242.6667,245.8333,12,133
18,239.9167,242.6667,12,133
19,237.6667,239.9167,12,133
20,235.3333,237.6667,12,133
21,232.8333,235.3333,12,133
22,231.25,232.8333,12,133
23,229.25,231.25,12,133
24,227.25,229.25,12,133
25,225.5833,227.25,12,133
26,224.1667,225.5833,12,133
27,222.3333,224.1667,12,133
28,220.5,222.3333,12,133
29,218.9167,220.5,12,133
30,216.5833,218.9167,12,133
31,214.9167,216.5833,12,133
32,214.9167,214.9167,12,133
33,213.3333,214.9167,12,133
34,208.4167,213.3333,12,133
35,205.1667,208.4167,12,133
36,207.5,205.1667,12,133
37,206.6667,207.5,12,133
38,204.6667,206.6667,12,133
39,202.5833,204.6667,12,133
40,200.5833,202.5833,12,133
41,198.9167,200.5833,12,133
42,199.5,198.9167,12,133
43,198.1667,199.5,12,133
44,197.0833,198.1667,12,133
45,195.6667,197.0833,12,133
46,194.0833,195.6667,12,133
47,192.75,194.0833,12,133
48,191.1667,192.75,12,133
49,189.0833,191.1667,12,133
50,187.5,189.0833,12,133
51,185.5833,187.5,12,133
52,184,185.5833,12,133
53,183.9167,184,12,133
54,182.5,183.9167,12,133
55,181.1667,182.5,12,133
56,179.25,181.1667,12,133
57,177.6667,179.25,12,133
58,175.8333,177.6667,12,133
59,174.0833,175.8333,12,133
60,172.1667,174.0833,12,133
61,170.3333,172.1667,12,133
62,168.8333,170.3333,12,133
63,166.8333,168.8333,12,133
64,165.0833,166.8333,12,133
65,164.3333,165.0833,12,133
66,162.5833,164.3333,12,133
67,161.25,162.5833,12,133
68,159.8333,161.25,12,133
69,158.25,159.8333,12,133
70,156.25,158.25,12,133
71,154.5833,156.25,12,133
72,152.3333,154.5833,12,133
73,151.5,152.3333,12,133
74,149.5833,151.5,12,133
75,147.8333,149.5833,12,133
76,146.3333,147.8333,12,133
77,146.1667,146.3333,12,133
78,144.75,146.1667,12,133
79,143.8333,144.75,12,133
80,143,143.8333,12,133
81,141.6667,143,12,133
82,140.4167,141.6667,12,133
83,139.25,140.4167,12,133
84,138.25,139.25,12,133
85,137.4167,138.25,12,133
86,135.8333,137.4167,12,133
87,134.3333,135.8333,12,133
88,134.1667,134.3333,12,133
89,133.5833,134.1667,12,133
90,132.5,133.5833,12,133
91,131.1667,132.5,12,133
92,131.25,131.1667,12,133
93,130.1667,131.25,12,133
94,129.3333,130.1667,12,133
95,128.25,129.3333,12,133
96,127.4167,128.25,12,133
97,126.6667,127.4167,12,133
98,125.8333,126.6667,12,133
99,125,125.8333,12,133
100,123.8333,125,12,133
1,314.3333,123.8333,13,50
2,364,314.3333,13,50
3,375.9861,364,13,50
4,370.6389,375.9861,13,50
5,357.6111,370.6389,13,50
6,344.5139,357.6111,13,50
7,330.3056,344.5139,13,50
8,324.3611,330.3056,13,50
9,324.2778,324.3611,13,50
10,324.6389,324.2778,13,50
11,289.5,324.6389,13,133
12,264.3333,289.5,13,133
13,257.75,264.3333,13,133
14,254.5,257.75,13,133
15,251.75,254.5,13,133
16,249.5833,251.75,13,133
17,247.8333,249.5833,13,133
18,245.75,247.8333,13,133
19,244.0833,245.75,13,133
20,242.3333,244.0833,13,133
21,241.0833,242.3333,13,133
22,240.75,241.0833,13,133
23,239.5,240.75,13,133
24,238.75,239.5,13,133
25,237.4167,238.75,13,133
26,236.5833,237.4167,13,133
27,235.3333,236.5833,13,133
28,234.1667,235.3333,13,133
29,232.1667,234.1667,13,133
30,232.1667,232.1667,13,133
31,231.1667,232.1667,13,133
32,229.75,231.1667,13,133
33,228.5,229.75,13,133
34,227.0833,228.5,13,133
35,226.0833,227.0833,13,133
36,224.9167,226.0833,13,133
37,223.6667,224.9167,13,133
38,222.3333,223.6667,13,133
39,221.3333,222.3333,13,133
40,220.0833,221.3333,13,133
41,218.9167,220.0833,13,133
42,217.5,218.9167,13,133
43,216.3333,217.5,13,133
44,214.9167,216.3333,13,133
45,213.3333,214.9167,13,133
46,211.9167,213.3333,13,133
47,210.75,211.9167,13,133
48,209.4167,210.75,13,133
49,207.4167,209.4167,13,133
50,206.0833,207.4167,13,133
51,204.6667,206.0833,13,133
52,203,204.6667,13,133
53,201.5833,203,13,133
54,199.9167,201.5833,13,133
55,198.3333,199.9167,13,133
56,196.8333,198.3333,13,133
57,195.4167,196.8333,13,133
58,193.6667,195.4167,13,133
59,192.4167,193.6667,13,133
60,190.75,192.4167,13,133
61,189.5833,190.75,13,133
62,188,189.5833,13,133
63,186.4167,188,13,133
64,185.1667,186.4167,13,133
65,183.75,185.1667,13,133
66,181.75,183.75,13,133
67,181,181.75,13,133
68,179.5,181,13,133
69,178,179.5,13,133
70,176.9167,178,13,133
71,175.5,176.9167,13,133
72,174.5,175.5,13,133
73,172.6667,174.5,13,133
74,171,172.6667,13,133
75,170.75,171,13,133
76,169.4167,170.75,13,133
77,168.1667,169.4167,13,133
78,167.3333,168.1667,13,133
79,166,167.3333,13,133
80,165,166,13,133
81,163.8333,165,13,133
82,162.75,163.8333,13,133
83,161.75,162.75,13,133
84,160.5833,161.75,13,133
85,159.5833,160.5833,13,133
86,158.8333,159.5833,13,133
87,157.9167,158.8333,13,133
88,156.75,157.9167,13,133
89,155.8333,156.75,13,133
90,154.9167,155.8333,13,133
91,154.25,154.9167,13,133
92,152.5,154.25,13,133
93,152.3333,152.5,13,133
94,151.3333,152.3333,13,133
95,150.75,151.3333,13,133
96,149.9167,150.75,13,133
97,149.0833,149.9167,13,133
98,148.4167,149.0833,13,133
99,147.5,148.4167,13,133
100,146.6667,147.5,13,133
1,276.403,146.6667,14,50
2,348.681,276.403,14,50
3,345.764,348.681,14,50
4,334.375,345.764,14,50
5,330.639,334.375,14,50
6,328.444,330.639,14,50
7,324.806,328.444,14,50
8,319.931,324.806,14,50
9,314.222,319.931,14,50
10,308.417,314.222,14,50
11,266.389,308.417,14,133
12,233.333,266.389,14,133
13,224.778,233.333,14,133
14,219.667,224.778,14,133
15,215.667,219.667,14,133
16,212.333,215.667,14,133
17,209.722,212.333,14,133
18,207.222,209.722,14,133
19,204.611,207.222,14,133
20,202.389,204.611,14,133
21,200.333,202.389,14,133
22,198.222,200.333,14,133
23,195.611,198.222,14,133
24,193.667,195.611,14,133
25,191.556,193.667,14,133
26,189.667,191.556,14,133
27,187.389,189.667,14,133
28,185.5,187.389,14,133
29,183.389,185.5,14,133
30,181.056,183.389,14,133
31,178.944,181.056,14,133
32,177.278,178.944,14,133
33,175.056,177.278,14,133
34,173.111,175.056,14,133
35,170.889,173.111,14,133
36,168.611,170.889,14,133
37,166.667,168.611,14,133
38,164.667,166.667,14,133
39,162.611,164.667,14,133
40,160.833,162.611,14,133
41,158.611,160.833,14,133
42,157.056,158.611,14,133
43,155.056,157.056,14,133
44,153.167,155.056,14,133
45,150.778,153.167,14,133
46,149.722,150.778,14,133
47,147.778,149.722,14,133
48,145.778,147.778,14,133
49,144.667,145.778,14,133
50,143,144.667,14,133
51,141.889,143,14,133
52,139.944,141.889,14,133
53,139.056,139.944,14,133
54,139.444,139.056,14,133
55,138.444,139.444,14,133
56,137.667,138.444,14,133
57,137.611,137.667,14,133
58,136.889,137.611,14,133
59,135.722,136.889,14,133
60,135.556,135.722,14,133
61,134.444,135.556,14,133
62,133.833,134.444,14,133
63,132.722,133.833,14,133
64,131.833,132.722,14,133
65,130.5,131.833,14,133
66,129.778,130.5,14,133
67,128.389,129.778,14,133
68,127.667,128.389,14,133
69,126.167,127.667,14,133
70,125.556,126.167,14,133
71,124.333,125.556,14,133
72,123.833,124.333,14,133
73,122.889,123.833,14,133
74,121.944,122.889,14,133
75,121,121.944,14,133
76,119.722,121,14,133
77,119.278,119.722,14,133
78,118.111,119.278,14,133
79,117.889,118.111,14,133
80,117.111,117.889,14,133
81,116.056,117.111,14,133
82,114.833,116.056,14,133
83,113.889,114.833,14,133
84,113.5,113.889,14,133
85,112.944,113.5,14,133
86,112.278,112.944,14,133
87,111.278,112.278,14,133
88,110,111.278,14,133
89,109.556,110,14,133
90,108.667,109.556,14,133
91,108.167,108.667,14,133
92,107.778,108.167,14,133
93,106.667,107.778,14,133
94,105.389,106.667,14,133
95,105.111,105.389,14,133
96,104.833,105.111,14,133
97,103.944,104.833,14,133
98,103.111,103.944,14,133
99,102.444,103.111,14,133
100,102.222,102.444,14,133
1,141.6389,102.222,15,50
2,265.7361,141.6389,15,50
3,297.7083,265.7361,15,50
4,331.7917,297.7083,15,50
5,339.9444,331.7917,15,50
6,338.6667,339.9444,15,50
7,339.0694,338.6667,15,50
8,330.4306,339.0694,15,50
9,326.8056,330.4306,15,50
10,331.7778,326.8056,15,50
11,297.5833,331.7778,15,133
12,257.25,297.5833,15,133
13,246.5,257.25,15,133
14,240.6667,246.5,15,133
15,236.3333,240.6667,15,133
16,233.0833,236.3333,15,133
17,230.6667,233.0833,15,133
18,227.4167,230.6667,15,133
19,226.5,227.4167,15,133
20,224.75,226.5,15,133
21,222.9167,224.75,15,133
22,221.5833,222.9167,15,133
23,219.6667,221.5833,15,133
24,217.6667,219.6667,15,133
25,217,217.6667,15,133
26,215.8333,217,15,133
27,214.3333,215.8333,15,133
28,213.1667,214.3333,15,133
29,211.75,213.1667,15,133
30,210.5833,211.75,15,133
31,208.5833,210.5833,15,133
32,207.3333,208.5833,15,133
33,206.0833,207.3333,15,133
34,204.5,206.0833,15,133
35,203.4167,204.5,15,133
36,201.4167,203.4167,15,133
37,199.75,201.4167,15,133
38,198.8333,199.75,15,133
39,197.6667,198.8333,15,133
40,195.6667,197.6667,15,133
41,193.8333,195.6667,15,133
42,192.5833,193.8333,15,133
43,191.0833,192.5833,15,133
44,189.4167,191.0833,15,133
45,187.3333,189.4167,15,133
46,185.75,187.3333,15,133
47,183.9167,185.75,15,133
48,182,183.9167,15,133
49,180.0833,182,15,133
50,178.5,180.0833,15,133
51,177,178.5,15,133
52,174.75,177,15,133
53,173,174.75,15,133
54,171.25,173,15,133
55,169.8333,171.25,15,133
56,167.9167,169.8333,15,133
57,166.8333,167.9167,15,133
58,165.5,166.8333,15,133
59,162.8333,165.5,15,133
60,161.6667,162.8333,15,133
61,159.5,161.6667,15,133
62,153.9167,159.5,15,133
63,157.0833,153.9167,15,133
64,155.9167,157.0833,15,133
65,154.5,155.9167,15,133
66,153.4167,154.5,15,133
67,152.0833,153.4167,15,133
68,150.8333,152.0833,15,133
69,149.8333,150.8333,15,133
70,147.9167,149.8333,15,133
71,146.6667,147.9167,15,133
72,145.5,146.6667,15,133
73,144.3333,145.5,15,133
74,143.3333,144.3333,15,133
75,142.1667,143.3333,15,133
76,140.75,142.1667,15,133
77,139.5,140.75,15,133
78,138.5833,139.5,15,133
79,137,138.5833,15,133
80,136.6667,137,15,133
81,135.6667,136.6667,15,133
82,134.25,135.6667,15,133
83,132.9167,134.25,15,133
84,132.3333,132.9167,15,133
85,131.4167,132.3333,15,133
86,129.6667,131.4167,15,133
87,129.1667,129.6667,15,133
88,128.25,129.1667,15,133
89,126.8333,128.25,15,133
90,126.4167,126.8333,15,133
91,125,126.4167,15,133
92,124.0833,125,15,133
93,122.5,124.0833,15,133
94,122.75,122.5,15,133
95,122.0833,122.75,15,133
96,121.5833,122.0833,15,133
97,120.5833,121.5833,15,133
98,119.5833,120.5833,15,133
99,119.4167,119.5833,15,133
100,118,119.4167,15,133
1,314.3333,118,16,50
2,364,314.3333,16,50
3,375.9861,364,16,50
4,370.6389,375.9861,16,50
5,357.6111,370.6389,16,50
6,344.5139,357.6111,16,50
7,330.3056,344.5139,16,50
8,324.3611,330.3056,16,50
9,324.2778,324.3611,16,50
10,324.6389,324.2778,16,50
11,289.5,324.6389,16,133
12,264.3333,289.5,16,133
13,257.75,264.3333,16,133
14,254.5,257.75,16,133
15,251.75,254.5,16,133
16,249.5833,251.75,16,133
17,247.8333,249.5833,16,133
18,245.75,247.8333,16,133
19,244.0833,245.75,16,133
20,242.3333,244.0833,16,133
21,241.0833,242.3333,16,133
22,240.75,241.0833,16,133
23,239.5,240.75,16,133
24,238.75,239.5,16,133
25,237.4167,238.75,16,133
26,236.5833,237.4167,16,133
27,235.3333,236.5833,16,133
28,234.1667,235.3333,16,133
29,232.1667,234.1667,16,133
30,232.1667,232.1667,16,133
31,231.1667,232.1667,16,133
32,229.75,231.1667,16,133
33,228.5,229.75,16,133
34,227.0833,228.5,16,133
35,226.0833,227.0833,16,133
36,224.9167,226.0833,16,133
37,223.6667,224.9167,16,133
38,222.3333,223.6667,16,133
39,221.3333,222.3333,16,133
40,220.0833,221.3333,16,133
41,218.9167,220.0833,16,133
42,217.5,218.9167,16,133
43,216.3333,217.5,16,133
44,214.9167,216.3333,16,133
45,213.3333,214.9167,16,133
46,211.9167,213.3333,16,133
47,210.75,211.9167,16,133
48,209.4167,210.75,16,133
49,207.4167,209.4167,16,133
50,206.0833,207.4167,16,133
51,204.6667,206.0833,16,133
52,203,204.6667,16,133
53,201.5833,203,16,133
54,199.9167,201.5833,16,133
55,198.3333,199.9167,16,133
56,196.8333,198.3333,16,133
57,195.4167,196.8333,16,133
58,193.6667,195.4167,16,133
59,192.4167,193.6667,16,133
60,190.75,192.4167,16,133
61,189.5833,190.75,16,133
62,188,189.5833,16,133
63,186.4167,188,16,133
64,185.1667,186.4167,16,133
65,183.75,185.1667,16,133
66,181.75,183.75,16,133
67,181,181.75,16,133
68,179.5,181,16,133
69,178,179.5,16,133
70,176.9167,178,16,133
71,175.5,176.9167,16,133
72,174.5,175.5,16,133
73,172.6667,174.5,16,133
74,171,172.6667,16,133
75,170.75,171,16,133
