Cycle,t,t-1,t-2,diameter
2,277.3889,177.8056,,12
3,317.3194,277.3889,177.8056,12
4,354.3333,317.3194,277.3889,12
5,368.6806,354.3333,317.3194,12
6,369.0556,368.6806,354.3333,12
7,370.6667,369.0556,368.6806,12
8,361.2361,370.6667,369.0556,12
9,353.0278,361.2361,370.6667,12
10,354.2222,353.0278,361.2361,12
11,302,354.2222,353.0278,12
12,268.4167,302,354.2222,12
13,259.5,268.4167,302,12
14,254.5833,259.5,268.4167,12
15,249.8333,254.5833,259.5,12
16,245.8333,249.8333,254.5833,12
17,242.6667,245.8333,249.8333,12
18,239.9167,242.6667,245.8333,12
19,237.6667,239.9167,242.6667,12
20,235.3333,237.6667,239.9167,12
21,232.8333,235.3333,237.6667,12
22,231.25,232.8333,235.3333,12
23,229.25,231.25,232.8333,12
24,227.25,229.25,231.25,12
25,225.5833,227.25,229.25,12
26,224.1667,225.5833,227.25,12
27,222.3333,224.1667,225.5833,12
28,220.5,222.3333,224.1667,12
29,218.9167,220.5,222.3333,12
30,216.5833,218.9167,220.5,12
31,214.9167,216.5833,218.9167,12
32,214.9167,214.9167,216.5833,12
33,213.3333,214.9167,214.9167,12
34,208.4167,213.3333,214.9167,12
35,205.1667,208.4167,213.3333,12
36,207.5,205.1667,208.4167,12
37,206.6667,207.5,205.1667,12
38,204.6667,206.6667,207.5,12
39,202.5833,204.6667,206.6667,12
40,200.5833,202.5833,204.6667,12
41,198.9167,200.5833,202.5833,12
42,199.5,198.9167,200.5833,12
43,198.1667,199.5,198.9167,12
44,197.0833,198.1667,199.5,12
45,195.6667,197.0833,198.1667,12
46,194.0833,195.6667,197.0833,12
47,192.75,194.0833,195.6667,12
48,191.1667,192.75,194.0833,12
49,189.0833,191.1667,192.75,12
50,187.5,189.0833,191.1667,12
51,185.5833,187.5,189.0833,12
52,184,185.5833,187.5,12
53,183.9167,184,185.5833,12
54,182.5,183.9167,184,12
55,181.1667,182.5,183.9167,12
56,179.25,181.1667,182.5,12
57,177.6667,179.25,181.1667,12
58,175.8333,177.6667,179.25,12
59,174.0833,175.8333,177.6667,12
60,172.1667,174.0833,175.8333,12
61,170.3333,172.1667,174.0833,12
62,168.8333,170.3333,172.1667,12
63,166.8333,168.8333,170.3333,12
64,165.0833,166.8333,168.8333,12
65,164.3333,165.0833,166.8333,12
66,162.5833,164.3333,165.0833,12
67,161.25,162.5833,164.3333,12
68,159.8333,161.25,162.5833,12
69,158.25,159.8333,161.25,12
70,156.25,158.25,159.8333,12
71,154.5833,156.25,158.25,12
72,152.3333,154.5833,156.25,12
73,151.5,152.3333,154.5833,12
74,149.5833,151.5,152.3333,12
75,147.8333,149.5833,151.5,12
76,146.3333,147.8333,149.5833,12
77,146.1667,146.3333,147.8333,12
78,144.75,146.1667,146.3333,12
79,143.8333,144.75,146.1667,12
80,143,143.8333,144.75,12
81,141.6667,143,143.8333,12
82,140.4167,141.6667,143,12
83,139.25,140.4167,141.6667,12
84,138.25,139.25,140.4167,12
85,137.4167,138.25,139.25,12
86,135.8333,137.4167,138.25,12
87,134.3333,135.8333,137.4167,12
88,134.1667,134.3333,135.8333,12
89,133.5833,134.1667,134.3333,12
90,132.5,133.5833,134.1667,12
91,131.1667,132.5,133.5833,12
92,131.25,131.1667,132.5,12
93,130.1667,131.25,131.1667,12
94,129.3333,130.1667,131.25,12
95,128.25,129.3333,130.1667,12
96,127.4167,128.25,129.3333,12
97,126.6667,127.4167,128.25,12
98,125.8333,126.6667,127.4167,12
99,125,125.8333,126.6667,12
100,123.8333,125,125.8333,12
101,123.25,123.8333,125,12
102,122.8333,123.25,123.8333,12
103,122,122.8333,123.25,12
104,121.25,122,122.8333,12
105,120.1667,121.25,122,12
106,119.5,120.1667,121.25,12
107,119.0833,119.5,120.1667,12
108,118.75,119.0833,119.5,12
109,118.4167,118.75,119.0833,12
110,117.6667,118.4167,118.75,12
111,117,117.6667,118.4167,12
112,116,117,117.6667,12
113,115.5833,116,117,12
114,115.25,115.5833,116,12
115,114.1667,115.25,115.5833,12
116,113.9167,114.1667,115.25,12
117,113.4167,113.9167,114.1667,12
118,112.75,113.4167,113.9167,12
119,112.5833,112.75,113.4167,12
120,111.75,112.5833,112.75,12
121,111.25,111.75,112.5833,12
122,110.3333,111.25,111.75,12
123,109.8333,110.3333,111.25,12
124,109.3333,109.8333,110.3333,12
125,109.1667,109.3333,109.8333,12
126,108.9167,109.1667,109.3333,12
127,108.25,108.9167,109.1667,12
128,107.75,108.25,108.9167,12
129,107.0833,107.75,108.25,12
130,106.5833,107.0833,107.75,12
131,106.1667,106.5833,107.0833,12
132,105.8333,106.1667,106.5833,12
1,314.3333,,,
2,364,314.3333,,13
3,375.9861,364,314.3333,13
4,370.6389,375.9861,364,13
5,357.6111,370.6389,375.9861,13
6,344.5139,357.6111,370.6389,13
7,330.3056,344.5139,357.6111,13
8,324.3611,330.3056,344.5139,13
9,324.2778,324.3611,330.3056,13
10,324.6389,324.2778,324.3611,13
11,289.5,324.6389,324.2778,13
12,264.3333,289.5,324.6389,13
13,257.75,264.3333,289.5,13
14,254.5,257.75,264.3333,13
15,251.75,254.5,257.75,13
16,249.5833,251.75,254.5,13
17,247.8333,249.5833,251.75,13
18,245.75,247.8333,249.5833,13
19,244.0833,245.75,247.8333,13
20,242.3333,244.0833,245.75,13
21,241.0833,242.3333,244.0833,13
22,240.75,241.0833,242.3333,13
23,239.5,240.75,241.0833,13
24,238.75,239.5,240.75,13
25,237.4167,238.75,239.5,13
26,236.5833,237.4167,238.75,13
27,235.3333,236.5833,237.4167,13
28,234.1667,235.3333,236.5833,13
29,232.1667,234.1667,235.3333,13
30,232.1667,232.1667,234.1667,13
31,231.1667,232.1667,232.1667,13
32,229.75,231.1667,232.1667,13
33,228.5,229.75,231.1667,13
34,227.0833,228.5,229.75,13
35,226.0833,227.0833,228.5,13
36,224.9167,226.0833,227.0833,13
37,223.6667,224.9167,226.0833,13
38,222.3333,223.6667,224.9167,13
39,221.3333,222.3333,223.6667,13
40,220.0833,221.3333,222.3333,13
41,218.9167,220.0833,221.3333,13
42,217.5,218.9167,220.0833,13
43,216.3333,217.5,218.9167,13
44,214.9167,216.3333,217.5,13
45,213.3333,214.9167,216.3333,13
46,211.9167,213.3333,214.9167,13
47,210.75,211.9167,213.3333,13
48,209.4167,210.75,211.9167,13
49,207.4167,209.4167,210.75,13
50,206.0833,207.4167,209.4167,13
51,204.6667,206.0833,207.4167,13
52,203,204.6667,206.0833,13
53,201.5833,203,204.6667,13
54,199.9167,201.5833,203,13
55,198.3333,199.9167,201.5833,13
56,196.8333,198.3333,199.9167,13
57,195.4167,196.8333,198.3333,13
58,193.6667,195.4167,196.8333,13
59,192.4167,193.6667,195.4167,13
60,190.75,192.4167,193.6667,13
61,189.5833,190.75,192.4167,13
62,188,189.5833,190.75,13
63,186.4167,188,189.5833,13
64,185.1667,186.4167,188,13
65,183.75,185.1667,186.4167,13
66,181.75,183.75,185.1667,13
67,181,181.75,183.75,13
68,179.5,181,181.75,13
69,178,179.5,181,13
70,176.9167,178,179.5,13
71,175.5,176.9167,178,13
72,174.5,175.5,176.9167,13
73,172.6667,174.5,175.5,13
74,171,172.6667,174.5,13
75,170.75,171,172.6667,13
76,169.4167,170.75,171,13
77,168.1667,169.4167,170.75,13
78,167.3333,168.1667,169.4167,13
79,166,167.3333,168.1667,13
80,165,166,167.3333,13
81,163.8333,165,166,13
82,162.75,163.8333,165,13
83,161.75,162.75,163.8333,13
84,160.5833,161.75,162.75,13
85,159.5833,160.5833,161.75,13
86,158.8333,159.5833,160.5833,13
87,157.9167,158.8333,159.5833,13
88,156.75,157.9167,158.8333,13
89,155.8333,156.75,157.9167,13
90,154.9167,155.8333,156.75,13
91,154.25,154.9167,155.8333,13
92,152.5,154.25,154.9167,13
93,152.3333,152.5,154.25,13
94,151.3333,152.3333,152.5,13
95,150.75,151.3333,152.3333,13
96,149.9167,150.75,151.3333,13
97,149.0833,149.9167,150.75,13
98,148.4167,149.0833,149.9167,13
99,147.5,148.4167,149.0833,13
100,146.6667,147.5,148.4167,13
101,145.8333,146.6667,147.5,13
102,145.25,145.8333,146.6667,13
103,144.5,145.25,145.8333,13
104,143.6667,144.5,145.25,13
105,142.9167,143.6667,144.5,13
106,142,142.9167,143.6667,13
107,141.0833,142,142.9167,13
108,140.25,141.0833,142,13
109,139.1667,140.25,141.0833,13
,,139.1667,140.25,
Cycle,14 mm,,139.1667,
1,276.403,,,
2,348.681,276.403,,14
3,345.764,348.681,276.403,14
4,334.375,345.764,348.681,14
5,330.639,334.375,345.764,14
6,328.444,330.639,334.375,14
7,324.806,328.444,330.639,14
8,319.931,324.806,328.444,14
9,314.222,319.931,324.806,14
10,308.417,314.222,319.931,14
11,266.389,308.417,314.222,14
12,233.333,266.389,308.417,14
13,224.778,233.333,266.389,14
14,219.667,224.778,233.333,14
15,215.667,219.667,224.778,14
16,212.333,215.667,219.667,14
17,209.722,212.333,215.667,14
18,207.222,209.722,212.333,14
19,204.611,207.222,209.722,14
20,202.389,204.611,207.222,14
21,200.333,202.389,204.611,14
22,198.222,200.333,202.389,14
23,195.611,198.222,200.333,14
24,193.667,195.611,198.222,14
25,191.556,193.667,195.611,14
26,189.667,191.556,193.667,14
27,187.389,189.667,191.556,14
28,185.5,187.389,189.667,14
29,183.389,185.5,187.389,14
